id,c1,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c2,c20,c3,c4,c5,c6,c7,c8,c9,id_cliente
256,1,3,4,2,0,0,5,5,5,5,1,4,4,5,4,1,4,1,5,0,1
257,5,4,5,3,3,2,1,2,4,0,3,2,2,2,3,1,2,0,2,5,2
258,2,5,1,3,3,0,2,0,4,3,5,1,0,5,5,1,4,0,4,1,3
259,3,3,4,5,1,0,4,2,1,2,2,0,3,5,4,0,5,0,5,1,4
260,2,1,0,3,3,3,5,4,5,3,3,2,1,4,4,0,4,5,0,2,5
261,2,3,4,4,0,1,1,2,3,4,3,2,0,4,5,2,5,4,5,2,6
262,3,4,4,5,2,3,4,2,4,0,1,3,3,4,4,1,4,4,5,1,7
263,1,2,4,1,2,0,2,4,5,1,0,5,1,5,5,2,4,1,5,3,8
264,2,2,3,2,3,2,2,2,1,3,3,1,4,3,2,5,1,0,0,3,9
265,2,5,5,1,1,2,3,0,4,0,4,0,2,5,5,0,4,3,5,0,10
266,3,5,4,4,1,3,3,4,0,3,0,3,4,5,5,1,5,3,4,0,11
267,2,5,5,2,3,2,2,1,2,2,4,3,0,4,5,1,4,1,0,5,12
268,3,1,3,5,4,2,3,5,5,3,1,5,0,5,5,1,4,1,5,0,13
269,2,1,0,2,3,1,0,1,1,2,4,3,3,2,5,2,0,0,3,0,14
270,1,0,2,4,3,3,3,1,5,1,3,0,3,4,3,3,5,3,5,0,15
271,3,4,4,4,3,2,3,2,5,3,1,1,4,5,5,3,5,5,4,2,16
272,1,5,2,0,3,0,1,1,0,0,3,3,3,3,2,1,4,5,4,1,17
273,1,1,2,3,2,2,1,0,3,3,0,1,2,5,1,0,3,2,4,1,18
274,3,1,0,4,5,3,5,4,4,3,2,4,1,2,4,3,3,2,0,3,19
275,1,3,1,3,2,3,0,3,5,5,2,0,0,1,0,0,3,3,4,5,20
276,1,1,3,0,4,3,1,0,5,3,0,1,3,4,3,2,1,0,5,2,21
277,3,2,5,4,0,1,3,2,4,4,5,2,4,5,4,0,5,4,4,3,22
278,3,2,3,2,3,0,4,3,4,4,3,1,2,3,4,2,1,3,4,0,23
279,2,1,2,3,3,0,0,3,5,3,2,0,3,4,0,1,4,2,5,5,24
280,0,1,2,2,2,2,0,0,4,2,1,0,1,5,4,3,1,5,3,1,25
281,3,4,5,5,1,1,5,0,0,3,4,0,5,4,4,3,5,2,4,1,26
282,1,3,5,4,5,0,2,1,1,0,1,3,0,5,4,2,4,1,2,1,27
283,3,0,4,5,1,3,1,2,5,5,5,1,4,5,5,1,5,2,5,1,28
284,1,1,0,2,1,3,2,2,0,5,2,2,3,2,5,0,0,4,2,3,29
285,1,2,4,3,1,2,1,5,1,5,1,0,1,5,5,1,4,1,4,1,30
286,0,2,2,2,3,1,1,5,3,0,1,2,1,0,2,0,4,4,0,5,31
287,0,5,4,4,0,3,1,1,0,0,1,3,1,4,1,2,1,1,4,3,32
288,2,5,5,1,2,0,4,1,2,3,0,2,0,4,2,1,0,1,5,3,33
289,1,2,1,5,0,0,5,4,2,4,2,5,0,5,4,1,4,5,5,1,34
290,2,1,0,0,1,3,1,2,0,3,3,3,2,4,2,1,2,2,4,1,35
291,3,4,0,4,1,2,5,3,1,0,3,4,2,4,5,1,0,1,1,3,36
292,1,1,5,1,1,0,4,5,4,4,3,3,0,4,4,1,0,5,5,4,37
293,2,3,5,0,5,1,2,4,5,0,0,3,1,4,1,3,3,1,3,5,38
294,2,1,2,4,3,3,1,4,4,5,5,0,2,2,3,0,4,1,4,1,39
295,0,5,3,5,3,3,4,5,5,4,3,5,2,4,5,0,5,4,5,5,40
296,0,3,2,3,4,3,2,1,0,3,3,0,2,5,2,2,3,0,3,2,41
297,3,5,5,4,3,0,3,1,4,5,1,5,3,4,5,2,4,5,5,0,42
298,1,0,5,1,3,1,1,4,2,4,3,3,3,0,5,1,3,2,5,2,43
299,2,0,3,1,3,0,3,0,5,3,0,0,3,5,5,2,4,2,2,2,44
300,2,1,1,1,0,2,3,1,3,4,1,3,0,3,5,3,3,0,5,0,45
